"doi","measure","count","tweet"
"10.1097/ACM.0000000000000437","one_uv",0,1
"10.1097/ACM.0000000000000440","one_uv",0,1
"10.1097/ACM.0000000000000449","one_uv",2,1
"10.1097/ACM.0000000000000465","one_uv",0,1
"10.1097/ACM.0000000000000499","one_uv",1,1
"10.1097/ACM.0000000000000506","one_uv",0,1
"10.1097/ACM.0000000000000521","one_uv",2,1
"10.1097/ACM.0000000000000522","one_uv",1,1
"10.1097/ACM.0000000000000524","one_uv",0,1
"10.1097/ACM.0000000000000525","one_uv",0,1
"10.1097/ACM.0000000000000528","one_uv",0,1
"10.1097/ACM.0000000000000529","one_uv",1,1
"10.1097/ACM.0000000000000535","one_uv",0,1
"10.1097/ACM.0000000000000541","one_uv",0,1
"10.1097/ACM.0000000000000543","one_uv",0,1
"10.1097/ACM.0000000000000547","one_uv",0,1
"10.1097/ACM.0000000000000550","one_uv",0,1
"10.1097/ACM.0000000000000551","one_uv",0,1
"10.1097/ACM.0000000000000553","one_uv",0,1
"10.1097/ACM.0000000000000562","one_uv",0,1
"10.1097/ACM.0000000000000564","one_uv",2,1
"10.1097/ACM.0000000000000578","one_uv",0,1
"10.1097/ACM.0000000000000579","one_uv",1,1
"10.1097/ACM.0000000000000581","one_uv",1,1
"10.1097/ACM.0000000000000583","one_uv",0,1
"10.1097/ACM.0000000000000586","one_uv",4,1
"10.1097/ACM.0000000000000588","one_uv",0,1
"10.1097/ACM.0000000000000590","one_uv",1,1
"10.1097/ACM.0000000000000591","one_uv",2,1
"10.1097/ACM.0000000000000592","one_uv",2,1
"10.1097/ACM.0000000000000594","one_uv",1,1
"10.1097/ACM.0000000000000606","one_uv",1,1
"10.1097/ACM.0000000000000610","one_uv",4,1
"10.1097/ACM.0000000000000612","one_uv",0,1
"10.1097/ACM.0000000000000616","one_uv",0,1
"10.1097/ACM.0000000000000617","one_uv",0,1
"10.1097/ACM.0000000000000619","one_uv",4,1
"10.1097/ACM.0000000000000631","one_uv",0,1
"10.1097/ACM.0000000000000632","one_uv",0,1
"10.1097/ACM.0000000000000633","one_uv",0,1
"10.1097/ACM.0000000000000640","one_uv",1,1
"10.1097/ACM.0000000000000646","one_uv",29,1
"10.1097/ACM.0000000000000648","one_uv",0,1
"10.1097/ACM.0000000000000649","one_uv",1,1
"10.1097/ACM.0000000000000650","one_uv",0,1
"10.1097/ACM.0000000000000655","one_uv",1,1
"10.1097/ACM.0000000000000658","one_uv",0,1
"10.1097/ACM.0000000000000661","one_uv",1,1
"10.1097/ACM.0000000000000674","one_uv",0,1
"10.1097/ACM.0000000000000675","one_uv",1,1
